Year,Species,State,Recruitment,Adult 
2000,Cancer,CA,3,13
2001,Cancer,CA,15,17
2002,Cancer,CA,28,15
2003,Cancer,CA,19,16
2004,Cancer,CA,25,14
2005,Cancer,CA,23,20
2006,Cancer,CA,28,18
2007,Cancer,CA,17,16
2008,Cancer,CA,10,20
2009,Cancer,CA,6,18
2010,Cancer,CA,22,18
2011,Cancer,CA,33,17
2012,Cancer,CA,30,17
2013,Cancer,CA,30,17
2014,Cancer,CA,32,17
2015,Cancer,CA,30,23
2016,Cancer,CA,1,18
2017,Cancer,CA,12,19
2018,Cancer,CA,28,23
2019,Cancer,CA,NA,19
2000,Cancer,OR,1,1
2001,Cancer,OR,22,5
2002,Cancer,OR,19,13
2003,Cancer,OR,2,7
2004,Cancer,OR,14,29
2005,Cancer,OR,8,32
2006,Cancer,OR,30,18
2007,Cancer,OR,24,36
2008,Cancer,OR,8,36
2009,Cancer,OR,30,39
2010,Cancer,OR,12,10
2011,Cancer,OR,24,22
2012,Cancer,OR,32,18
2013,Cancer,OR,13,23
2014,Cancer,OR,20,22
2015,Cancer,OR,10,14
2016,Cancer,OR,25,40
2017,Cancer,OR,13,36
2018,Cancer,OR,19,27
2019,Cancer,OR,NA,43
2000,Barnacle,CA,15,41
2001,Barnacle,CA,16,38
2002,Barnacle,CA,13,37
2003,Barnacle,CA,14,42
2004,Barnacle,CA,15,42
2005,Barnacle,CA,8,39
2006,Barnacle,CA,11,37
2007,Barnacle,CA,10,35
2008,Barnacle,CA,8,35
2009,Barnacle,CA,12,31
2010,Barnacle,CA,5,39
2011,Barnacle,CA,5,31
2012,Barnacle,CA,11,33
2013,Barnacle,CA,5,34
2014,Barnacle,CA,4,32
2015,Barnacle,CA,3,31
2016,Barnacle,CA,9,32
2017,Barnacle,CA,10,34
2018,Barnacle,CA,4,27
2019,Barnacle,CA,NA,28
2000,Barnacle,OR,20,28
2001,Barnacle,OR,12,18
2002,Barnacle,OR,15,28
2003,Barnacle,OR,22,37
2004,Barnacle,OR,10,38
2005,Barnacle,OR,19,33
2006,Barnacle,OR,14,28
2007,Barnacle,OR,13,28
2008,Barnacle,OR,9,34
2009,Barnacle,OR,9,35
2010,Barnacle,OR,18,30
2011,Barnacle,OR,13,17
2012,Barnacle,OR,11,21
2013,Barnacle,OR,3,28
2014,Barnacle,OR,18,33
2015,Barnacle,OR,8,32
2016,Barnacle,OR,5,21
2017,Barnacle,OR,3,15
2018,Barnacle,OR,13,20
2019,Barnacle,OR,NA,30
